ts,symbol,interval,open,high,low,close,volume,source
2026-03-06 02:45:00+00:00,BTC-USD,1m,71347.24,71368.75,71308.4,71329.46,11.32713,binance
2026-03-06 02:46:00+00:00,BTC-USD,1m,71329.47,71339.85,71307.91,71327.99,5.92468,binance
2026-03-06 02:47:00+00:00,BTC-USD,1m,71327.99,71327.99,71293.52,71319.17,4.05425,binance
2026-03-06 02:48:00+00:00,BTC-USD,1m,71319.17,71319.17,71277.99,71278.0,2.43073,binance
2026-03-06 02:49:00+00:00,BTC-USD,1m,71278.0,71355.28,71277.99,71330.69,175.97887,binance
2026-03-06 02:50:00+00:00,BTC-USD,1m,71330.7,71352.01,71240.89,71250.87,27.34724,binance
2026-03-06 02:51:00+00:00,BTC-USD,1m,71250.86,71250.87,71230.0,71249.2,15.28399,binance
2026-03-06 02:52:00+00:00,BTC-USD,1m,71249.2,71249.2,71231.73,71248.66,2.34474,binance
2026-03-06 02:53:00+00:00,BTC-USD,1m,71248.67,71265.84,71216.34,71238.13,11.17598,binance
2026-03-06 02:54:00+00:00,BTC-USD,1m,71238.14,71249.2,71208.0,71208.01,12.27893,binance
2026-03-06 02:55:00+00:00,BTC-USD,1m,71208.0,71226.02,71192.85,71226.02,4.56499,binance
2026-03-06 02:56:00+00:00,BTC-USD,1m,71226.02,71237.71,71200.0,71200.01,3.14103,binance
2026-03-06 02:57:00+00:00,BTC-USD,1m,71200.01,71224.87,71186.13,71224.86,4.79267,binance
2026-03-06 02:58:00+00:00,BTC-USD,1m,71224.87,71236.66,71212.23,71236.65,4.16889,binance
2026-03-06 02:59:00+00:00,BTC-USD,1m,71236.66,71256.0,71229.57,71252.43,5.51765,binance
2026-03-06 03:00:00+00:00,BTC-USD,1m,71252.43,71305.42,71241.61,71244.51,8.93552,binance
2026-03-06 03:01:00+00:00,BTC-USD,1m,71244.51,71262.57,71212.0,71212.0,10.15645,binance
2026-03-06 03:02:00+00:00,BTC-USD,1m,71212.0,71253.87,71212.0,71224.16,4.28563,binance
2026-03-06 03:03:00+00:00,BTC-USD,1m,71224.48,71225.92,71192.68,71225.92,5.07328,binance
2026-03-06 03:04:00+00:00,BTC-USD,1m,71225.91,71249.19,71219.76,71249.19,3.6857,binance
2026-03-06 03:05:00+00:00,BTC-USD,1m,71249.2,71288.98,71245.11,71245.12,5.06582,binance
2026-03-06 03:06:00+00:00,BTC-USD,1m,71245.12,71245.99,71199.32,71221.21,7.0504,binance
2026-03-06 03:07:00+00:00,BTC-USD,1m,71221.21,71246.69,71197.0,71220.68,5.73294,binance
2026-03-06 03:08:00+00:00,BTC-USD,1m,71220.69,71262.53,71220.69,71256.75,4.90534,binance
2026-03-06 03:09:00+00:00,BTC-USD,1m,71256.74,71256.75,71236.75,71236.76,11.51168,binance
2026-03-06 03:10:00+00:00,BTC-USD,1m,71236.75,71259.93,71236.75,71242.37,6.36116,binance
2026-03-06 03:11:00+00:00,BTC-USD,1m,71242.38,71248.66,71230.69,71233.37,8.44702,binance
2026-03-06 03:12:00+00:00,BTC-USD,1m,71233.37,71233.37,71067.9,71083.16,18.64271,binance
2026-03-06 03:13:00+00:00,BTC-USD,1m,71083.16,71116.0,71050.47,71050.47,13.10774,binance
2026-03-06 03:14:00+00:00,BTC-USD,1m,71050.47,71067.9,71028.33,71067.9,6.58178,binance
2026-03-06 03:15:00+00:00,BTC-USD,1m,71067.9,71075.06,71028.33,71036.0,5.729,binance
2026-03-06 03:16:00+00:00,BTC-USD,1m,71036.01,71093.07,71024.98,71078.36,7.30508,binance
2026-03-06 03:17:00+00:00,BTC-USD,1m,71078.36,71088.76,71064.01,71064.01,3.75214,binance
2026-03-06 03:18:00+00:00,BTC-USD,1m,71064.01,71077.46,71024.66,71024.66,4.15879,binance
2026-03-06 03:19:00+00:00,BTC-USD,1m,71024.66,71067.9,71000.0,71067.89,12.2783,binance
2026-03-06 03:20:00+00:00,BTC-USD,1m,71067.89,71089.64,71066.5,71083.87,5.00002,binance
2026-03-06 03:21:00+00:00,BTC-USD,1m,71083.87,71127.69,71062.67,71117.48,9.81918,binance
2026-03-06 03:22:00+00:00,BTC-USD,1m,71117.49,71150.01,71117.48,71145.26,3.97024,binance
2026-03-06 03:23:00+00:00,BTC-USD,1m,71145.26,71215.41,71120.59,71215.41,8.18637,binance
2026-03-06 03:24:00+00:00,BTC-USD,1m,71215.41,71259.99,71165.37,71192.54,6.75185,binance
2026-03-06 03:25:00+00:00,BTC-USD,1m,71192.54,71195.2,71151.7,71195.19,6.42361,binance
2026-03-06 03:26:00+00:00,BTC-USD,1m,71195.19,71196.68,71176.93,71176.94,1.63864,binance
2026-03-06 03:27:00+00:00,BTC-USD,1m,71176.94,71214.24,71165.78,71165.79,11.31956,binance
2026-03-06 03:28:00+00:00,BTC-USD,1m,71165.79,71177.29,71147.84,71172.52,15.43131,binance
2026-03-06 03:29:00+00:00,BTC-USD,1m,71172.51,71181.0,71154.46,71181.0,5.46309,binance
2026-03-06 03:30:00+00:00,BTC-USD,1m,71181.0,71227.44,71171.89,71205.32,4.92739,binance
2026-03-06 03:31:00+00:00,BTC-USD,1m,71205.31,71223.34,71161.28,71161.28,8.8214,binance
2026-03-06 03:32:00+00:00,BTC-USD,1m,71161.28,71161.29,71100.0,71150.83,6.9928,binance
2026-03-06 03:33:00+00:00,BTC-USD,1m,71150.83,71170.38,71130.0,71166.18,5.31525,binance
2026-03-06 03:34:00+00:00,BTC-USD,1m,71166.19,71174.0,71139.27,71142.99,6.85442,binance
2026-03-06 03:35:00+00:00,BTC-USD,1m,71143.0,71166.58,71124.3,71124.3,3.40364,binance
2026-03-06 03:36:00+00:00,BTC-USD,1m,71124.31,71150.21,71100.43,71144.25,11.37623,binance
2026-03-06 03:37:00+00:00,BTC-USD,1m,71144.24,71144.24,71100.43,71121.7,5.94598,binance
2026-03-06 03:38:00+00:00,BTC-USD,1m,71121.69,71140.92,71121.69,71132.2,5.54799,binance
2026-03-06 03:39:00+00:00,BTC-USD,1m,71132.19,71180.71,71112.0,71112.0,36.0066,binance
2026-03-06 03:40:00+00:00,BTC-USD,1m,71112.0,71116.0,71100.43,71115.99,7.9147,binance
2026-03-06 03:41:00+00:00,BTC-USD,1m,71115.99,71115.99,71080.0,71091.24,5.75652,binance
2026-03-06 03:42:00+00:00,BTC-USD,1m,71091.25,71092.3,71067.9,71092.3,7.54422,binance
2026-03-06 03:43:00+00:00,BTC-USD,1m,71092.29,71120.58,71092.29,71113.88,7.33846,binance
2026-03-06 03:44:00+00:00,BTC-USD,1m,71113.88,71140.0,71084.52,71092.01,23.28657,binance
2026-03-06 03:45:00+00:00,BTC-USD,1m,71092.01,71099.0,71076.07,71076.07,3.48122,binance
2026-03-06 03:46:00+00:00,BTC-USD,1m,71076.08,71107.29,71075.82,71081.82,8.06515,binance
2026-03-06 03:47:00+00:00,BTC-USD,1m,71081.83,71120.71,71081.82,71120.7,6.09075,binance
